split,sample_index
train,142
train,56
train,198
train,77
train,50
train,55
train,4
train,69
train,174
train,47
train,88
train,114
train,58
train,171
train,155
train,67
train,195
train,162
train,111
train,87
train,7
train,89
train,121
train,76
train,115
train,163
train,61
train,187
train,199
train,18
train,152
train,160
train,123
train,122
train,53
train,159
train,127
train,84
train,8
train,173
train,66
train,176
train,14
train,106
train,71
train,193
train,95
train,16
train,133
train,113
train,170
train,112
train,12
train,149
train,41
train,79
train,183
train,141
train,136
train,68
train,86
train,124
train,70
train,36
train,78
train,196
train,73
train,90
train,1
train,2
train,117
train,140
train,80
train,19
train,144
train,109
train,99
train,13
train,128
train,83
train,134
train,110
train,37
train,185
train,60
train,130
train,23
train,165
train,42
train,35
train,157
train,182
train,49
train,44
train,28
train,145
train,92
train,120
train,48
train,184
train,6
train,33
train,5
train,135
train,105
train,191
train,75
train,29
train,189
train,34
train,125
train,20
train,151
train,188
train,93
train,38
train,172
train,116
train,9
train,91
train,94
train,146
train,98
train,11
train,132
train,179
train,139
train,102
train,10
train,39
train,27
train,15
train,65
train,119
train,192
train,96
train,52
train,24
train,107
train,137
val,97
val,197
val,108
val,51
val,104
val,72
val,148
val,100
val,31
val,17
val,62
val,22
val,30
val,169
val,103
val,177
val,178
val,167
val,158
val,131
test,166
test,190
test,129
test,26
test,40
test,168
test,153
test,175
test,161
test,45
test,118
test,164
test,186
test,85
test,32
test,82
test,156
test,143
test,154
test,147
test,54
test,150
test,74
test,101
test,21
test,181
test,43
test,180
test,138
test,0
test,46
test,25
test,3
test,81
test,63
test,194
test,57
test,126
test,64
test,59
