split,sample_index
train,342
train,66
train,0
train,242
train,100
train,132
train,130
train,300
train,8
train,111
train,212
train,121
train,184
train,127
train,269
train,241
train,45
train,295
train,225
train,209
train,123
train,84
train,71
train,134
train,235
train,326
train,175
train,41
train,185
train,304
train,6
train,43
train,143
train,112
train,51
train,196
train,299
train,159
train,150
train,334
train,144
train,202
train,155
train,307
train,215
train,73
train,93
train,76
train,61
train,216
train,12
train,195
train,188
train,33
train,252
train,224
train,233
train,104
train,336
train,228
train,178
train,217
train,138
train,288
train,160
train,15
train,69
train,344
train,219
train,275
train,87
train,222
train,114
train,206
train,234
train,3
train,181
train,171
train,35
train,309
train,198
train,189
train,210
train,236
train,158
train,70
train,355
train,197
train,153
train,120
train,177
train,54
train,317
train,48
train,1
train,239
train,169
train,266
train,37
train,287
train,230
train,80
train,319
train,318
train,96
train,283
train,17
train,162
train,203
train,163
train,357
train,237
train,289
train,72
train,128
train,351
train,308
train,276
train,349
train,18
train,321
train,146
train,315
train,29
train,182
train,231
train,223
train,213
train,99
train,129
train,293
train,16
train,4
train,353
train,116
train,330
train,58
train,284
train,23
train,227
train,165
train,347
train,88
train,267
train,113
train,136
train,50
train,320
train,97
train,341
train,49
train,192
train,314
train,145
train,214
train,77
train,172
train,36
train,21
train,52
train,180
train,316
train,85
train,325
train,94
train,296
train,13
train,282
train,7
train,9
train,281
train,101
train,27
train,20
train,30
train,83
train,246
train,2
train,346
train,161
train,352
train,348
train,31
train,47
train,194
train,108
train,207
train,259
train,39
train,240
train,268
train,350
train,298
train,278
train,64
train,107
train,279
train,191
train,274
train,32
train,226
train,294
train,140
train,176
train,46
train,301
train,285
train,220
train,124
train,313
train,328
train,260
train,26
train,168
train,63
train,131
train,110
train,211
train,109
train,81
train,193
train,137
train,122
train,118
train,65
train,245
train,25
train,229
train,154
train,306
train,24
train,117
train,5
train,272
train,133
train,82
train,251
train,152
train,232
train,255
train,157
train,310
train,44
train,68
train,354
train,311
train,55
train,147
train,280
train,290
val,115
val,90
val,74
val,270
val,253
val,338
val,256
val,86
val,79
val,333
val,332
val,186
val,148
val,254
val,179
val,262
val,126
val,201
val,183
val,156
val,339
val,331
val,187
val,75
val,286
val,312
val,292
val,53
val,28
val,238
val,174
val,327
val,119
val,91
val,273
test,40
test,103
test,106
test,135
test,271
test,199
test,247
test,78
test,263
test,221
test,57
test,305
test,62
test,10
test,250
test,291
test,167
test,125
test,22
test,345
test,38
test,337
test,102
test,139
test,67
test,218
test,258
test,14
test,19
test,264
test,141
test,302
test,265
test,324
test,200
test,170
test,356
test,173
test,11
test,248
test,142
test,261
test,243
test,303
test,335
test,60
test,98
test,329
test,244
test,257
test,166
test,95
test,340
test,105
test,92
test,205
test,249
test,297
test,59
test,56
test,343
test,190
test,89
test,204
test,42
test,208
test,164
test,323
test,149
test,322
test,277
test,151
test,34
