split,sample_index
train,526
train,100
train,792
train,667
train,110
train,829
train,508
train,685
train,858
train,595
train,796
train,438
train,614
train,332
train,569
train,225
train,471
train,60
train,205
train,244
train,105
train,690
train,785
train,469
train,647
train,250
train,229
train,455
train,315
train,30
train,990
train,40
train,339
train,517
train,263
train,540
train,975
train,972
train,210
train,587
train,886
train,980
train,411
train,747
train,215
train,943
train,561
train,393
train,361
train,18
train,728
train,616
train,742
train,317
train,142
train,983
train,759
train,957
train,226
train,761
train,966
train,854
train,484
train,583
train,342
train,63
train,197
train,915
train,639
train,706
train,125
train,707
train,180
train,851
train,37
train,167
train,247
train,750
train,486
train,921
train,146
train,498
train,844
train,86
train,370
train,889
train,46
train,774
train,343
train,306
train,445
train,704
train,1013
train,927
train,15
train,619
train,621
train,814
train,169
train,191
train,258
train,599
train,223
train,953
train,1005
train,406
train,575
train,738
train,833
train,26
train,431
train,237
train,287
train,479
train,944
train,303
train,220
train,580
train,979
train,875
train,175
train,375
train,427
train,864
train,968
train,155
train,355
train,354
train,767
train,682
train,705
train,571
train,940
train,1003
train,29
train,905
train,392
train,642
train,888
train,10
train,931
train,799
train,22
train,832
train,643
train,272
train,652
train,628
train,596
train,153
train,810
train,467
train,188
train,326
train,602
train,897
train,754
train,500
train,908
train,631
train,542
train,460
train,209
train,590
train,165
train,138
train,459
train,475
train,150
train,874
train,363
train,803
train,302
train,85
train,857
train,504
train,346
train,998
train,58
train,402
train,424
train,464
train,39
train,573
train,116
train,288
train,48
train,568
train,714
train,430
train,592
train,385
train,784
train,868
train,384
train,753
train,301
train,217
train,524
train,470
train,64
train,11
train,892
train,496
train,967
train,727
train,677
train,674
train,977
train,601
train,716
train,941
train,224
train,830
train,482
train,683
train,863
train,538
train,625
train,715
train,0
train,104
train,935
train,719
train,241
train,199
train,114
train,859
train,668
train,893
train,443
train,170
train,591
train,962
train,182
train,144
train,681
train,344
train,187
train,992
train,421
train,860
train,112
train,969
train,506
train,103
train,702
train,213
train,1000
train,130
train,739
train,101
train,102
train,995
train,74
train,66
train,786
train,481
train,989
train,96
train,80
train,61
train,266
train,855
train,184
train,458
train,775
train,267
train,978
train,758
train,441
train,839
train,755
train,221
train,942
train,971
train,147
train,736
train,800
train,270
train,815
train,118
train,637
train,768
train,211
train,748
train,2
train,345
train,300
train,34
train,594
train,655
train,436
train,91
train,90
train,665
train,733
train,699
train,412
train,633
train,572
train,1014
train,352
train,530
train,257
train,235
train,56
train,923
train,1027
train,924
train,313
train,222
train,919
train,788
train,276
train,159
train,934
train,77
train,293
train,9
train,887
train,134
train,391
train,617
train,841
train,296
train,818
train,741
train,308
train,1007
train,772
train,350
train,106
train,634
