split,sample_index
train,198
train,318
train,830
train,583
train,414
train,575
train,616
train,128
train,694
train,863
train,96
train,430
train,182
train,838
train,195
train,493
train,311
train,560
train,189
train,441
train,377
train,272
train,225
train,760
train,719
train,696
train,767
train,585
train,635
train,66
train,726
train,836
train,167
train,421
train,55
train,432
train,215
train,73
train,758
train,546
train,810
train,273
train,205
train,265
train,71
train,509
train,679
train,356
train,345
train,260
train,702
train,510
train,4
train,703
train,670
train,515
train,16
train,440
train,0
train,799
train,110
train,626
train,730
train,598
train,762
train,687
train,819
train,190
train,735
train,844
train,14
train,75
train,472
train,835
train,492
train,230
train,159
train,199
train,12
train,720
train,214
train,427
train,812
train,848
train,754
train,381
train,595
train,186
train,495
train,651
train,619
train,713
train,765
train,297
train,151
train,343
train,217
train,795
train,405
train,287
train,210
train,354
train,417
train,304
train,701
train,615
train,281
train,117
train,121
train,513
train,275
train,660
train,839
train,317
train,614
train,666
train,676
train,787
train,431
train,402
train,251
train,667
train,76
train,269
train,384
train,576
train,741
train,119
train,631
train,106
train,743
train,849
train,236
train,320
train,462
train,487
train,632
train,621
train,336
train,134
train,579
train,396
train,647
train,135
train,46
train,552
train,87
train,452
train,420
train,682
train,490
train,308
train,860
train,412
train,868
train,276
train,127
train,497
train,49
train,7
train,61
train,801
train,757
train,623
train,213
train,776
train,98
train,221
train,786
train,202
train,48
train,395
train,590
train,147
train,771
train,187
train,498
train,145
train,636
train,653
train,656
train,1
train,705
train,628
train,568
train,282
train,611
train,448
train,394
train,698
train,172
train,630
train,708
train,337
train,808
train,138
train,45
train,17
train,406
train,383
train,466
train,335
train,254
train,827
train,68
train,194
train,231
train,226
train,131
train,516
train,624
train,561
train,744
train,856
train,580
train,94
train,227
train,791
train,507
train,770
train,566
train,324
train,867
train,330
train,437
train,756
train,223
train,549
train,82
train,517
train,671
train,637
train,851
train,545
train,875
train,57
train,43
train,783
train,748
train,661
train,673
train,692
train,108
train,824
train,40
train,488
train,814
train,357
train,820
train,382
train,92
train,120
train,415
train,669
train,852
train,642
train,850
train,344
train,93
train,65
train,500
train,654
train,183
train,646
train,263
train,738
train,749
train,247
train,826
train,740
train,99
train,489
train,423
train,161
train,734
train,869
train,340
train,446
train,454
train,862
train,363
train,390
train,413
train,392
train,285
train,255
train,548
train,259
train,428
train,465
train,158
train,514
train,588
train,818
train,24
train,853
train,389
train,434
train,148
train,520
train,460
train,240
train,152
train,188
train,162
train,244
train,531
train,607
train,411
train,806
train,90
train,772
train,347
train,362
train,536
train,184
train,278
train,633
train,303
train,136
train,112
train,874
train,797
train,56
train,649
train,486
train,506
train,316
train,823
train,208
train,325
train,165
train,391
train,379
train,27
train,401
train,31
train,23
train,777
train,554
train,542
train,825
train,376
train,374
train,662
train,508
train,620
train,817
train,242
train,219
train,689
train,574
train,800
train,168
train,216
train,543
train,613
train,470
train,866
train,519
train,399
train,95
train,408
train,36
train,291
train,494
train,533
train,541
train,84
train,279
train,815
train,695
train,805
train,455
train,258
train,100
train,807
train,180
train,53
train,665
train,491
train,697
train,505
train,562
train,70
train,482
train,305
train,652
train,524
train,828
train,444
train,711
train,691
train,393
train,193
train,484
train,222
train,763
train,26
train,535
train,348
train,426
train,706
train,674
train,675
train,457
train,366
train,532
train,371
train,641
train,480
train,78
train,729
train,822
train,149
train,688
train,319
train,463
train,845
train,312
train,196
train,105
train,270
train,107
train,380
train,599
train,728
train,699
train,292
train,97
train,840
train,638
train,245
train,86
train,439
train,39
train,739
train,686
train,450
train,499
train,872
train,690
train,512
train,471
train,313
train,289
train,572
train,518
train,842
train,481
train,785
train,873
train,113
train,779
train,502
train,476
train,253
train,264
train,678
train,64
train,15
train,385
train,723
train,644
train,355
train,81
train,203
train,338
train,79
train,54
train,504
train,238
train,327
train,163
train,750
train,736
train,74
train,409
train,323
train,781
train,547
train,447
train,802
train,746
train,181
train,296
train,125
train,277
train,373
train,451
train,360
train,322
train,732
train,232
train,22
train,629
train,714
train,372
train,768
train,577
train,156
train,592
train,578
train,567
train,369
train,594
train,329
train,617
train,234
train,351
train,832
train,467
train,268
train,274
train,397
train,672
train,364
train,473
train,751
train,782
train,200
train,664
train,731
train,321
train,479
train,192
train,83
train,468
train,266
train,38
train,501
train,129
train,684
train,326
train,352
train,648
train,332
train,798
train,790
train,424
train,256
train,715
train,42
train,811
train,228
train,550
train,478
train,403
train,456
train,655
train,864
