split,sample_index
train,57
train,538
train,93
train,673
train,785
train,696
train,496
train,979
train,688
train,92
train,66
train,25
train,938
train,789
train,421
train,679
train,46
train,184
train,687
train,437
train,677
train,227
train,788
train,622
train,188
train,284
train,722
train,180
train,744
train,570
train,870
train,631
train,47
train,112
train,754
train,879
train,725
train,509
train,926
train,897
train,43
train,983
train,547
train,258
train,594
train,434
train,559
train,221
train,183
train,600
train,438
train,240
train,918
train,268
train,991
train,974
train,501
train,611
train,110
train,591
train,143
train,791
train,107
train,247
train,177
train,26
train,819
train,747
train,701
train,784
train,553
train,80
train,373
train,260
train,911
train,716
train,264
train,486
train,68
train,578
train,87
train,682
train,657
train,666
train,610
train,827
train,700
train,855
train,887
train,336
train,148
train,518
train,4
train,162
train,9
train,908
train,577
train,400
train,985
train,671
train,322
train,774
train,462
train,178
train,394
train,174
train,766
train,230
train,523
train,685
train,533
train,345
train,475
train,8
train,686
train,1006
train,826
train,202
train,771
train,531
train,60
train,867
train,13
train,449
train,900
train,824
train,126
train,235
train,103
train,380
train,377
train,959
train,0
train,31
train,70
train,451
train,102
train,699
train,903
train,675
train,792
train,981
train,444
train,510
train,694
train,613
train,506
train,965
train,602
train,508
train,271
train,653
train,450
train,187
train,498
train,932
train,222
train,884
train,963
train,144
train,874
train,341
train,499
train,782
train,658
train,551
train,575
train,813
train,597
train,936
train,81
train,166
train,873
train,572
train,474
train,916
train,678
train,447
train,243
train,917
train,794
train,273
train,953
train,3
train,596
train,321
train,74
train,505
train,259
train,494
train,197
train,36
train,798
train,315
train,402
train,396
train,369
train,286
train,15
train,389
train,133
train,740
train,53
train,931
train,741
train,150
train,456
train,442
train,989
train,717
train,176
train,281
train,224
train,661
train,854
train,971
train,407
train,10
train,935
train,689
train,848
train,739
train,558
train,314
train,429
train,732
train,805
train,640
train,515
train,219
train,877
train,23
train,45
train,170
train,980
train,326
train,795
train,468
train,698
train,662
train,619
train,937
train,344
train,215
train,972
train,532
train,634
train,85
train,303
train,655
train,933
train,851
train,207
train,943
train,458
train,453
train,690
train,125
train,168
train,573
train,113
train,654
train,901
train,719
train,646
train,556
train,32
train,378
train,1
train,347
train,626
train,27
train,579
train,954
train,97
train,210
train,295
train,278
train,915
train,175
train,198
train,630
train,90
train,737
train,599
train,297
train,323
train,595
train,58
train,290
train,316
train,829
train,406
train,858
train,75
train,77
train,419
train,359
train,825
train,730
train,667
train,783
train,767
train,568
train,82
train,869
train,801
train,195
train,842
train,536
train,111
train,357
train,216
train,723
train,526
train,160
train,69
train,48
train,799
train,309
train,529
train,291
train,274
train,155
train,484
train,382
train,856
train,213
train,919
train,354
train,5
train,571
train,343
train,134
train,504
train,350
train,836
train,311
train,711
train,878
train,30
train,1000
train,703
train,237
train,763
train,481
train,375
train,163
train,149
train,731
train,652
train,859
train,566
train,324
train,459
train,905
train,828
train,114
train,335
train,969
train,705
train,285
train,839
train,492
train,593
train,545
train,668
train,376
train,192
train,433
train,40
train,770
train,976
train,248
train,978
train,44
train,18
train,521
train,724
train,435
train,804
train,325
train,823
train,138
train,692
train,758
train,460
train,745
train,550
train,621
train,525
train,327
train,664
train,136
train,720
train,542
train,140
train,958
train,469
train,203
train,608
train,806
train,616
train,835
train,947
train,430
train,728
train,710
train,614
train,472
train,338
train,930
train,543
train,893
train,775
train,511
train,852
train,814
train,440
train,752
train,755
train,750
train,86
train,310
train,683
train,250
train,182
train,982
train,436
train,540
train,513
train,588
train,173
train,960
train,721
train,618
train,649
train,922
train,158
train,497
train,507
train,256
train,275
train,834
train,186
train,695
train,807
train,992
train,217
train,254
train,201
train,100
train,713
train,339
train,684
train,977
train,448
train,159
train,6
train,837
train,463
train,627
train,360
train,128
train,691
train,204
train,239
train,787
train,753
train,862
train,485
train,478
train,358
train,1002
train,244
train,650
