split,sample_index
train,672
train,428
train,338
train,103
train,355
train,316
train,94
train,409
train,82
train,302
train,753
train,711
train,494
train,439
train,620
train,703
train,349
train,324
train,765
train,435
train,146
train,329
train,695
train,102
train,743
train,530
train,83
train,378
train,203
train,168
train,396
train,557
train,574
train,670
train,112
train,345
train,332
train,477
train,632
train,549
train,754
train,563
train,727
train,488
train,401
train,224
train,163
train,511
train,399
train,526
train,555
train,150
train,60
train,320
train,265
train,334
train,676
train,113
train,709
train,677
train,539
train,75
train,535
train,325
train,559
train,342
train,684
train,261
train,249
train,130
train,751
train,206
train,658
train,442
train,257
train,458
train,719
train,560
train,419
train,77
train,774
train,712
train,305
train,426
train,166
train,119
train,441
train,10
train,721
train,122
train,748
train,290
train,418
train,210
train,140
train,386
train,562
train,740
train,161
train,383
train,456
train,470
train,528
train,104
train,151
train,93
train,55
train,390
train,49
train,307
train,376
train,48
train,641
train,718
train,254
train,694
train,500
train,370
train,105
train,42
train,659
train,273
train,246
train,449
train,759
train,660
train,603
train,205
train,725
train,53
train,165
train,201
train,533
train,625
train,50
train,613
train,692
train,681
train,570
train,385
train,408
train,717
train,387
train,550
train,184
train,283
train,468
train,623
train,758
train,156
train,412
train,395
train,777
train,109
train,691
train,346
train,297
train,558
train,664
train,652
train,319
train,621
train,382
train,568
train,732
train,197
train,0
train,149
train,471
train,534
train,348
train,389
train,422
train,680
train,546
train,554
train,295
train,591
train,536
train,371
train,3
train,547
train,521
train,15
train,749
train,757
train,644
train,631
train,78
train,61
train,64
train,144
train,594
train,76
train,771
train,498
train,244
train,656
train,256
train,353
train,506
train,380
train,705
train,763
train,453
train,593
train,666
train,430
train,630
train,545
train,330
train,755
train,499
train,739
train,523
train,215
train,128
train,569
train,176
train,479
train,251
train,487
train,693
train,159
train,84
train,690
train,153
train,532
train,344
train,167
train,36
train,73
train,95
train,372
train,148
train,360
train,368
train,118
train,38
train,502
train,187
train,343
train,384
train,515
train,601
train,306
train,643
train,741
train,737
train,226
train,23
train,111
train,262
train,657
train,618
train,98
train,770
train,26
train,19
train,137
train,45
train,642
train,665
train,577
train,481
train,714
train,647
train,270
train,274
train,266
train,362
train,276
train,216
train,624
train,766
train,756
train,340
train,192
train,689
train,682
train,35
train,110
train,491
train,649
train,628
train,29
train,20
train,63
train,503
train,564
train,182
train,697
train,328
train,172
train,722
train,271
train,708
train,779
train,277
train,155
train,484
train,421
train,79
train,622
train,490
train,341
train,783
train,608
train,472
train,602
train,592
train,457
train,323
train,11
train,452
train,610
train,738
train,333
train,586
train,520
train,467
train,58
train,279
train,588
train,4
train,309
train,517
train,427
train,571
train,760
train,86
train,585
train,180
train,583
train,474
train,462
train,701
train,575
train,366
train,782
train,413
train,238
train,268
train,322
train,214
train,183
train,626
train,540
train,115
train,411
train,447
train,679
train,637
train,492
train,723
train,589
train,750
train,131
train,294
train,87
train,639
train,781
train,314
train,522
train,222
train,229
train,9
train,552
train,158
train,463
train,280
train,6
train,135
train,56
train,460
train,114
train,636
train,237
train,196
train,331
train,542
train,304
train,381
train,145
train,443
train,14
train,650
train,565
train,299
train,525
train,678
train,7
train,189
train,121
train,496
train,51
train,202
train,106
train,52
train,212
train,208
train,178
train,239
train,407
train,152
train,46
train,74
train,174
train,425
train,406
train,347
train,335
train,286
train,233
train,784
train,117
train,318
train,478
train,125
train,107
train,22
train,234
train,780
train,769
train,445
train,31
train,566
train,788
train,173
train,600
train,402
train,746
train,764
train,508
train,5
train,444
train,315
train,668
train,531
train,567
train,358
train,516
train,584
train,67
train,473
train,285
train,275
train,391
train,417
train,16
train,674
train,162
train,405
train,698
train,612
train,669
train,296
train,454
train,364
train,126
train,230
train,489
train,199
train,461
train,687
train,459
train,433
train,573
train,609
train,310
train,475
train,40
train,186
train,648
train,464
train,518
train,576
train,524
train,497
train,768
train,133
train,726
train,710
train,68
train,367
train,175
train,369
train,662
train,578
train,404
train,308
train,141
train,633
train,96
train,685
train,635
train,240
train,8
train,696
train,236
train,486
train,480
train,101
train,476
train,27
train,673
train,731
train,398
train,706
train,734
train,62
train,700
train,18
train,590
train,548
train,661
train,655
train,436
train,587
train,431
train,235
train,13
train,432
train,529
train,361
train,675
train,81
train,250
train,221
train,80
train,786
train,752
train,354
train,455
train,713
train,414
train,225
train,124
train,223
train,242
train,553
train,57
train,375
train,220
train,21
train,556
train,775
train,580
train,171
train,715
train,773
train,538
val,736
val,451
val,683
val,448
val,551
val,466
val,572
val,424
val,181
val,70
val,493
val,761
val,88
val,350
val,733
val,604
val,85
val,611
val,293
val,132
val,227
val,400
val,241
val,437
val,160
val,188
val,260
val,326
val,200
val,272
val,327
val,606
val,720
val,213
val,89
val,2
val,157
val,116
val,207
val,730
val,617
val,97
val,629
val,264
val,91
val,699
val,619
val,209
val,292
val,219
val,211
val,1
val,599
val,663
val,394
val,582
val,247
val,139
val,185
val,228
val,509
val,65
val,259
val,147
val,469
val,410
val,218
val,169
val,134
val,356
val,638
val,634
val,179
val,450
val,154
val,519
val,707
val,120
test,744
test,281
test,607
test,41
test,596
test,616
test,190
test,312
test,363
test,337
test,24
test,54
test,527
test,143
test,352
test,278
test,301
test,28
test,69
test,336
test,33
test,72
test,483
test,745
test,243
test,39
test,735
test,561
test,379
test,47
test,313
test,92
test,217
test,311
test,127
test,614
test,423
test,44
test,99
test,787
test,543
test,108
test,245
test,627
test,716
test,495
test,640
test,446
test,415
test,465
test,25
test,289
test,90
test,702
test,288
test,778
test,17
test,686
test,724
test,485
test,300
test,762
test,138
test,195
test,248
test,129
test,667
test,255
test,505
test,767
test,317
test,164
test,772
test,541
test,671
test,512
test,742
test,12
test,204
test,59
test,194
test,136
test,776
test,728
test,303
test,321
test,388
test,438
test,514
test,393
test,298
test,513
test,646
test,785
test,595
test,263
test,645
test,71
test,365
test,654
test,704
test,615
test,32
test,377
test,287
test,123
test,501
test,267
test,747
test,66
test,258
test,198
test,373
test,170
test,605
test,231
test,440
test,597
test,282
test,100
test,253
test,482
test,37
test,252
test,177
test,34
test,284
test,403
test,510
test,30
test,579
test,142
test,581
test,359
test,598
test,434
test,688
test,653
test,429
test,392
test,416
test,651
test,269
test,537
test,504
test,507
test,374
test,729
test,351
test,193
test,357
test,43
test,191
test,339
test,420
test,291
test,544
test,397
test,232
