split,sample_index
train,950
train,276
train,564
train,535
train,790
train,720
train,42
train,261
train,533
train,122
train,50
train,523
train,873
train,487
train,705
train,101
train,114
train,760
train,488
train,545
train,92
train,633
train,869
train,994
train,323
train,806
train,504
train,104
train,398
train,948
train,275
train,751
train,363
train,458
train,792
train,733
train,838
train,753
train,774
train,959
train,924
train,79
train,330
train,916
train,851
train,684
train,1005
train,309
train,402
train,366
train,800
train,56
train,797
train,452
train,235
train,590
train,866
train,321
train,354
train,267
train,691
train,583
train,954
train,281
train,559
train,338
train,450
train,233
train,325
train,210
train,420
train,852
train,329
train,33
train,587
train,446
train,757
train,884
train,448
train,960
train,133
train,20
train,822
train,392
train,141
train,339
train,499
train,889
train,816
train,762
train,87
train,246
train,135
train,254
train,110
train,436
train,155
train,548
train,171
train,763
train,845
train,154
train,95
train,48
train,156
train,482
train,526
train,148
train,130
train,247
train,853
train,911
train,107
train,702
train,659
train,348
train,904
train,678
train,991
train,547
train,160
train,485
train,717
train,767
train,539
train,944
train,581
train,549
train,282
train,540
train,197
train,483
train,887
train,19
train,315
train,639
train,756
train,905
train,654
train,755
train,870
train,781
train,963
train,374
train,909
train,303
train,965
train,437
train,266
train,996
train,200
train,417
train,951
train,331
train,106
train,542
train,256
train,28
train,221
train,342
train,129
train,425
train,932
train,382
train,997
train,393
train,945
train,183
train,531
train,174
train,13
train,783
train,574
train,680
train,516
train,602
train,561
train,85
train,43
train,301
train,983
train,771
train,554
train,761
train,914
train,144
train,828
train,68
train,18
train,758
train,415
train,563
train,86
train,123
train,841
train,454
train,804
train,784
train,32
train,98
train,213
train,528
train,641
train,215
train,78
train,709
train,600
train,196
train,580
train,245
train,636
train,827
train,52
train,132
train,12
train,839
train,778
train,146
train,290
train,529
train,896
train,811
train,782
train,388
train,967
train,938
train,8
train,5
train,740
train,151
train,937
train,880
train,739
train,45
train,508
train,940
train,214
train,350
train,364
train,612
train,84
train,170
train,572
train,595
train,576
train,878
train,310
train,317
train,72
train,667
train,825
train,249
train,919
train,921
train,216
train,361
train,721
train,422
train,747
train,861
train,906
train,378
train,881
train,949
train,136
train,112
train,902
train,840
train,807
train,927
train,578
train,754
train,725
train,296
train,496
train,209
train,186
train,622
train,856
train,722
train,629
train,908
train,509
train,124
train,131
train,427
train,795
train,953
train,337
train,116
train,475
train,139
train,288
train,7
train,557
train,860
train,708
train,687
train,501
train,406
train,672
train,167
train,958
train,558
train,227
train,22
train,892
train,299
train,591
train,442
train,592
train,377
train,76
train,463
train,867
train,228
train,302
train,230
train,716
train,0
train,986
train,805
train,876
train,618
train,510
train,486
train,250
train,537
train,191
train,520
train,913
train,649
train,127
train,142
train,544
train,514
train,849
train,403
train,619
train,89
train,584
train,360
train,178
train,424
train,928
