split,sample_index
train,284
train,204
train,398
train,241
train,268
train,24
train,427
train,381
train,174
train,450
train,74
train,295
train,222
train,67
train,311
train,375
train,99
train,152
train,230
train,89
train,299
train,261
train,140
train,320
train,448
train,326
train,32
train,256
train,449
train,0
train,39
train,337
train,407
train,138
train,87
train,203
train,229
train,453
train,339
train,191
train,96
train,423
train,36
train,226
train,344
train,324
train,333
train,111
train,446
train,102
train,393
train,49
train,62
train,216
train,402
train,80
train,131
train,3
train,243
train,245
train,400
train,415
train,6
train,389
train,223
train,130
train,289
train,377
train,347
train,370
train,34
train,396
train,411
train,290
train,254
train,316
train,403
train,1
train,385
train,264
train,408
train,412
train,93
train,81
train,110
train,15
train,428
train,185
train,71
train,394
train,238
train,456
train,68
train,294
train,84
train,232
train,378
train,356
train,7
train,161
train,413
train,162
train,119
train,144
train,443
train,338
train,169
train,79
train,91
train,175
train,248
train,455
train,148
train,158
train,4
train,342
train,209
train,406
train,112
train,61
train,236
train,293
train,154
train,106
train,10
train,328
train,306
train,279
train,128
train,83
train,30
train,205
train,343
train,425
train,271
train,409
train,348
train,225
train,143
train,233
train,251
train,373
train,432
train,136
train,217
train,85
train,45
train,285
train,20
train,107
train,386
train,165
train,5
train,76
train,382
train,54
train,277
train,410
train,451
train,214
train,40
train,361
train,170
train,334
train,104
train,329
train,53
train,147
train,197
train,390
train,134
train,116
train,265
train,86
train,188
train,73
train,64
train,363
train,292
train,11
train,240
train,219
train,173
train,145
train,120
train,98
train,190
train,367
train,60
train,258
train,397
train,78
train,304
train,14
train,103
train,422
train,297
train,182
train,59
train,435
train,332
train,296
train,266
train,273
train,17
train,42
train,46
train,276
train,298
train,198
train,135
train,164
train,235
train,283
train,9
train,417
train,199
train,437
train,278
train,186
train,221
train,399
train,416
train,19
train,260
train,126
train,121
train,2
train,345
train,249
train,234
train,195
train,66
train,340
train,63
train,117
train,419
train,314
train,358
train,125
train,57
train,247
train,335
train,355
train,384
train,218
train,325
train,22
train,346
train,38
train,115
train,357
train,92
train,228
train,303
train,253
train,156
train,350
train,139
train,206
train,274
train,262
train,371
train,445
train,28
train,434
train,365
train,244
train,124
train,47
train,52
train,75
train,267
train,201
train,436
train,336
train,181
train,163
train,141
train,376
train,353
train,404
train,440
train,26
train,177
train,72
train,55
train,323
train,90
train,127
train,137
train,202
train,16
train,302
train,101
train,150
train,189
train,447
train,146
train,322
train,307
train,100
train,208
train,69
train,220
train,421
train,212
train,77
train,341
train,157
train,114
train,270
train,194
train,187
train,360
train,309
train,176
train,291
train,37
val,227
val,12
val,429
val,286
val,257
val,193
val,155
val,318
val,439
val,383
val,44
val,388
val,178
val,97
val,183
val,31
val,179
val,105
val,58
val,108
val,272
val,280
val,118
val,315
val,129
val,167
val,391
val,192
val,160
val,171
val,327
val,420
val,215
val,330
val,282
val,438
val,207
val,109
val,368
val,172
val,369
val,213
val,351
val,142
val,444
test,395
test,151
test,359
test,300
test,8
test,255
test,56
test,313
test,184
test,281
test,13
test,21
test,211
test,441
test,317
test,366
test,387
test,442
test,301
test,349
test,312
test,259
test,132
test,380
test,331
test,321
test,430
test,237
test,94
test,308
test,149
test,159
test,122
test,123
test,35
test,18
test,23
test,287
test,269
test,95
test,246
test,65
test,242
test,401
test,263
test,454
test,43
test,319
test,424
test,133
test,200
test,33
test,414
test,364
test,405
test,426
test,239
test,210
test,50
test,374
test,168
test,25
test,29
test,372
test,310
test,252
test,275
test,70
test,433
test,27
test,113
test,352
test,362
test,224
test,392
test,196
test,48
test,180
test,166
test,452
test,231
test,51
test,82
test,305
test,354
test,379
test,153
test,418
test,431
test,288
test,41
test,250
test,88
