split,sample_index
train,384
train,88
train,66
train,484
train,204
train,328
train,226
train,85
train,142
train,281
train,444
train,425
train,74
train,248
train,445
train,457
train,111
train,135
train,345
train,2
train,249
train,437
train,343
train,114
train,335
train,1
train,467
train,63
train,179
train,388
train,23
train,316
train,443
train,463
train,99
train,456
train,11
train,319
train,86
train,276
train,476
train,473
train,451
train,186
train,383
train,413
train,469
train,105
train,34
train,167
train,336
train,450
train,176
train,84
train,268
train,89
train,16
train,284
train,252
train,472
train,57
train,31
train,474
train,214
train,150
train,380
train,189
train,323
train,117
train,217
train,247
train,190
train,430
train,106
train,222
train,134
train,329
train,406
train,65
train,435
train,234
train,337
train,77
train,94
train,454
train,76
train,275
train,120
train,36
train,315
train,157
train,67
train,203
train,198
train,79
train,481
train,69
train,102
train,123
train,197
train,390
train,144
train,447
train,56
train,133
train,165
train,431
train,412
train,187
train,175
train,309
train,420
train,239
train,143
train,452
train,236
train,206
train,286
train,477
train,153
train,347
train,15
train,159
train,21
train,148
train,462
train,471
train,221
train,393
train,317
train,137
train,62
train,470
train,60
train,124
train,109
train,125
train,264
train,288
train,75
train,145
train,246
train,25
train,349
train,33
train,269
train,196
train,422
train,59
train,53
train,376
train,433
train,10
train,301
train,338
train,126
train,12
train,121
train,156
train,146
train,358
train,216
train,409
train,202
train,45
train,350
train,405
train,285
train,240
train,87
train,118
train,260
train,238
train,448
train,381
train,346
train,173
train,18
train,131
train,330
train,398
train,378
train,195
train,400
train,382
train,307
train,311
train,188
train,480
train,299
train,39
train,250
train,136
train,475
train,3
train,243
train,112
train,218
train,370
train,361
train,29
train,8
train,404
train,233
train,261
train,266
train,421
train,22
train,453
train,93
train,108
train,174
train,54
train,200
train,210
train,107
train,98
train,104
train,208
train,147
train,194
train,149
train,55
train,158
train,4
train,128
train,28
train,367
train,434
train,71
train,363
train,90
train,169
train,438
train,164
train,58
train,14
train,166
train,0
train,401
train,162
train,185
train,325
train,219
train,172
train,116
train,127
train,32
train,352
train,265
train,423
train,122
train,259
train,49
train,100
train,306
train,209
train,362
train,224
train,344
train,254
train,279
train,257
train,211
train,5
train,322
train,429
train,229
train,35
train,375
train,38
train,168
train,9
train,327
train,182
train,386
train,183
train,253
train,141
train,68
train,43
train,242
train,359
train,436
train,272
train,372
train,180
train,326
train,458
train,132
train,160
train,37
train,152
train,290
train,282
train,213
train,479
train,464
train,270
train,163
train,20
train,52
train,119
train,17
train,419
train,263
train,441
train,267
train,177
train,377
train,46
train,357
train,161
train,300
train,392
train,355
train,324
train,399
train,220
train,291
train,230
train,439
train,205
train,432
train,115
train,340
train,50
train,391
train,199
train,287
train,6
train,255
train,483
train,397
train,42
train,13
train,298
train,351
train,333
train,138
val,339
val,47
val,64
val,30
val,207
val,113
val,27
val,364
val,151
val,24
val,331
val,424
val,440
val,277
val,369
val,449
val,332
val,416
val,293
val,41
val,354
val,292
val,72
val,237
val,295
val,408
val,70
val,411
val,262
val,348
val,80
val,410
val,271
val,91
val,446
val,212
val,407
val,313
val,101
val,241
val,294
val,184
val,251
val,373
val,274
val,418
val,460
val,360
test,81
test,44
test,140
test,95
test,312
test,171
test,103
test,96
test,417
test,396
test,320
test,379
test,459
test,466
test,302
test,191
test,485
test,232
test,366
test,225
test,461
test,353
test,283
test,303
test,314
test,402
test,139
test,428
test,389
test,231
test,215
test,365
test,73
test,19
test,193
test,273
test,82
test,394
test,395
test,92
test,305
test,280
test,478
test,181
test,228
test,318
test,465
test,97
test,223
test,48
test,130
test,414
test,7
test,110
test,415
test,289
test,371
test,468
test,321
test,296
test,178
test,78
test,455
test,61
test,170
test,297
test,442
test,26
test,129
test,40
test,334
test,426
test,51
test,235
test,356
test,403
test,83
test,342
test,304
test,244
test,256
test,154
test,482
test,368
test,387
test,227
test,427
test,155
test,258
test,385
test,308
test,310
test,201
test,192
test,278
test,245
test,374
test,341
