split,sample_index
train,198
train,255
train,414
train,292
train,270
train,148
train,230
train,430
train,78
train,134
train,298
train,303
train,382
train,92
train,239
train,15
train,131
train,345
train,425
train,344
train,357
train,226
train,53
train,289
train,435
train,224
train,181
train,241
train,24
train,57
train,370
train,54
train,99
train,47
train,45
train,411
train,71
train,185
train,120
train,10
train,418
train,218
train,453
train,452
train,203
train,348
train,145
train,105
train,101
train,176
train,332
train,23
train,478
train,437
train,216
train,340
train,327
train,42
train,236
train,98
train,294
train,460
train,214
train,398
train,158
train,448
train,305
train,112
train,459
train,206
train,159
train,221
train,400
train,441
train,288
train,339
train,463
train,0
train,336
train,347
train,446
train,199
train,242
train,36
train,114
train,282
train,321
train,33
train,443
train,171
train,269
train,63
train,473
train,192
train,191
train,415
train,121
train,50
train,51
train,304
train,210
train,212
train,141
train,91
train,393
train,166
train,88
train,180
train,373
train,320
train,215
train,77
train,423
train,209
train,30
train,100
train,364
train,31
train,429
train,479
train,167
train,351
train,205
train,60
train,416
train,161
train,22
train,235
train,227
train,13
train,331
train,87
train,276
train,433
train,156
train,313
train,136
train,29
train,248
train,67
train,451
train,82
train,335
train,247
train,399
train,1
train,12
train,223
train,296
train,177
train,424
train,187
train,392
train,301
train,384
train,213
train,182
train,179
train,428
train,295
train,6
train,403
train,381
train,260
train,165
train,49
train,231
train,352
train,190
train,350
train,20
train,464
train,290
train,484
train,119
train,164
train,39
train,111
train,124
train,115
train,388
train,253
train,263
train,34
train,328
train,56
train,118
train,330
train,234
train,28
train,160
train,196
train,138
train,41
train,74
train,59
train,162
train,76
train,25
train,107
train,486
train,380
train,322
train,27
train,367
train,256
train,251
train,475
train,170
train,62
train,474
train,113
train,43
train,127
train,434
train,467
train,315
train,390
train,355
train,287
train,168
train,291
train,343
train,319
train,361
train,55
train,184
train,436
train,194
train,132
train,461
train,250
train,259
train,302
train,445
train,369
train,249
train,152
train,278
train,142
train,44
train,297
train,293
train,150
train,346
train,359
train,8
train,106
train,72
train,217
train,465
train,341
train,70
train,151
train,4
train,338
train,334
train,265
train,90
train,426
train,38
train,258
train,52
train,450
train,157
train,308
train,130
train,109
train,458
train,19
train,96
train,409
train,431
train,280
train,211
train,383
train,89
train,454
train,172
train,274
train,207
train,135
train,427
train,104
train,329
train,186
train,267
train,483
train,480
train,447
train,2
train,103
train,21
train,404
train,266
train,208
train,349
train,354
train,422
train,444
train,201
train,94
train,65
train,440
train,481
train,140
train,363
train,477
train,487
train,366
train,129
train,419
train,68
train,125
train,146
train,133
train,394
train,471
train,277
train,469
train,275
train,149
train,397
train,377
train,117
train,143
train,386
train,85
train,407
train,356
train,102
train,316
train,14
train,261
train,110
train,325
train,372
train,299
train,197
train,225
train,326
val,17
val,462
val,153
val,378
val,126
val,232
val,387
val,254
val,279
val,46
val,485
val,376
val,317
val,3
val,64
val,188
val,122
val,337
val,309
val,66
val,244
val,466
val,374
val,86
val,183
val,273
val,200
val,40
val,240
val,174
val,137
val,108
val,389
val,264
val,178
val,311
val,243
val,37
val,252
val,379
val,396
val,84
val,371
val,468
val,7
val,237
val,395
val,48
test,442
test,116
test,420
test,155
test,375
test,246
test,9
test,455
test,35
test,457
test,401
test,95
test,97
test,283
test,405
test,219
test,144
test,360
test,284
test,333
test,204
test,123
test,342
test,220
test,222
test,362
test,408
test,81
test,482
test,353
test,93
test,412
test,229
test,449
test,154
test,439
test,257
test,358
test,391
test,402
test,189
test,173
test,406
test,385
test,83
test,16
test,61
test,312
test,310
test,80
test,476
test,472
test,306
test,262
test,417
test,18
test,368
test,233
test,470
test,410
test,281
test,169
test,285
test,324
test,286
test,228
test,413
test,307
test,5
test,438
test,323
test,163
test,314
test,69
test,58
test,26
test,193
test,147
test,245
test,11
test,32
test,195
test,300
test,73
test,139
test,432
test,365
test,202
test,421
test,268
test,271
test,456
test,238
test,272
test,79
test,128
test,175
test,75
test,318
