split,sample_index
train,92
train,171
train,342
train,267
train,128
train,10
train,258
train,271
train,336
train,44
train,308
train,99
train,238
train,326
train,197
train,237
train,11
train,201
train,33
train,151
train,129
train,98
train,223
train,187
train,203
train,12
train,199
train,131
train,205
train,177
train,242
train,3
train,1
train,325
train,227
train,294
train,217
train,120
train,126
train,275
train,246
train,5
train,327
train,156
train,281
train,328
train,285
train,174
train,219
train,264
train,320
train,4
train,274
train,233
train,43
train,84
train,321
train,243
train,168
train,317
train,38
train,316
train,82
train,57
train,276
train,7
train,297
train,115
train,153
train,186
train,207
train,278
train,170
train,229
train,150
train,134
train,329
train,240
train,108
train,339
train,104
train,225
train,314
train,323
train,102
train,165
train,315
train,69
train,221
train,16
train,117
train,249
train,125
train,193
train,34
train,175
train,111
train,332
train,319
train,349
train,37
train,110
train,135
train,59
train,231
train,286
train,307
train,189
train,36
train,112
train,0
train,72
train,106
train,116
train,50
train,62
train,118
train,348
train,101
train,94
train,259
train,261
train,343
train,290
train,123
train,254
train,215
train,93
train,257
train,130
train,137
train,25
train,64
train,191
train,204
train,127
train,90
train,74
train,232
train,68
train,89
train,318
train,91
train,61
train,287
train,192
train,196
train,54
train,212
train,75
train,272
train,194
train,260
train,222
train,52
train,70
train,172
train,291
train,13
train,182
train,236
train,178
train,15
train,58
train,303
train,163
train,277
train,334
train,200
train,313
train,81
train,269
train,188
train,45
train,73
train,234
train,184
train,181
train,19
train,40
train,228
train,9
train,299
train,214
train,30
train,87
train,251
train,331
train,330
train,185
train,292
train,138
train,41
train,18
train,300
train,293
train,213
train,105
train,266
train,295
train,132
train,140
train,268
train,109
train,46
train,2
train,103
train,220
train,255
train,22
train,244
train,340
train,67
train,253
train,344
train,245
train,32
train,263
train,17
train,230
train,202
train,80
train,24
train,346
train,55
train,301
train,310
train,146
train,148
train,143
train,39
train,56
train,335
train,114
train,309
train,161
train,86
train,183
train,280
train,29
train,241
train,83
train,216
train,248
val,35
val,48
val,262
val,100
val,250
val,26
val,78
val,158
val,279
val,289
val,210
val,273
val,147
val,169
val,176
val,347
val,211
val,337
val,256
val,66
val,136
val,65
val,121
val,282
val,226
val,133
val,139
val,63
val,77
val,23
val,338
val,305
val,288
val,296
val,302
test,60
test,42
test,51
test,157
test,107
test,206
test,284
test,167
test,333
test,124
test,160
test,179
test,14
test,209
test,195
test,142
test,235
test,224
test,21
test,28
test,8
test,306
test,159
test,304
test,31
test,122
test,208
test,345
test,247
test,198
test,88
test,149
test,283
test,265
test,239
test,173
test,6
test,324
test,79
test,49
test,85
test,119
test,71
test,218
test,341
test,95
test,20
test,162
test,53
test,270
test,154
test,190
test,141
test,166
test,312
test,155
test,76
test,144
test,322
test,145
test,113
test,311
test,298
test,152
test,164
test,252
test,180
test,97
test,96
test,27
test,47
