split,sample_index
train,382
train,468
train,125
train,2
train,202
train,232
train,401
train,207
train,115
train,146
train,11
train,315
train,25
train,427
train,124
train,241
train,51
train,328
train,220
train,281
train,111
train,217
train,6
train,228
train,472
train,470
train,307
train,178
train,179
train,132
train,253
train,61
train,175
train,474
train,219
train,191
train,350
train,453
train,310
train,333
train,96
train,343
train,320
train,76
train,206
train,136
train,174
train,301
train,341
train,78
train,357
train,300
train,22
train,360
train,216
train,164
train,221
train,81
train,162
train,227
train,0
train,271
train,362
train,259
train,364
train,27
train,419
train,52
train,102
train,154
train,201
train,140
train,17
train,434
train,466
train,94
train,394
train,316
train,279
train,198
train,387
train,172
train,165
train,422
train,168
train,339
train,200
train,82
train,90
train,346
train,14
train,79
train,39
train,250
train,245
train,258
train,177
train,356
train,49
train,451
train,28
train,33
train,129
train,342
train,365
train,210
train,436
train,368
train,304
train,319
train,215
train,375
train,289
train,318
train,19
train,240
train,121
train,286
train,397
train,109
train,108
train,197
train,97
train,385
train,311
train,196
train,446
train,37
train,188
train,128
train,75
train,299
train,47
train,185
train,442
train,50
train,282
train,15
train,395
train,239
train,353
train,381
train,249
train,272
train,430
train,255
train,44
train,465
train,284
train,396
train,48
train,153
train,462
train,459
train,214
train,65
train,143
train,458
train,429
train,5
train,135
train,361
train,415
train,358
train,67
train,141
train,10
train,171
train,144
train,414
train,354
train,335
train,322
train,372
train,119
train,278
train,373
train,59
train,163
train,405
train,85
train,243
train,264
train,127
train,287
train,213
train,276
train,337
train,478
train,398
train,3
train,445
train,386
train,139
train,393
train,16
train,169
train,107
train,211
train,273
train,147
train,8
train,212
train,21
train,449
train,30
train,226
train,334
train,29
train,309
train,425
train,114
train,366
train,447
train,378
train,439
train,407
train,437
train,126
train,161
train,443
train,131
train,130
train,159
train,138
train,43
train,440
train,392
train,388
train,87
train,274
train,45
train,469
train,122
train,42
train,72
train,20
train,290
train,93
train,231
train,294
train,247
train,53
train,417
train,336
train,60
train,112
train,473
train,355
train,166
train,297
train,150
train,302
train,369
train,323
train,345
train,248
train,454
train,460
train,80
train,230
train,7
train,83
train,367
train,62
train,157
train,389
train,418
train,63
train,347
train,306
train,120
train,329
train,24
train,325
train,117
train,58
train,257
train,23
train,74
train,377
train,195
train,205
train,137
train,104
train,268
train,92
train,123
train,194
train,199
train,275
train,46
train,349
train,101
train,133
train,308
train,204
train,359
train,229
train,89
train,464
train,413
train,269
train,344
train,477
train,251
train,426
train,352
train,113
train,190
train,331
train,280
train,293
train,291
train,448
train,416
train,64
train,292
train,371
train,428
train,183
train,266
train,234
train,456
train,411
train,390
train,406
train,13
train,262
train,242
train,457
train,99
train,54
train,435
train,95
train,246
val,270
val,403
val,277
val,170
val,116
val,380
val,348
val,400
val,461
val,455
val,260
val,189
val,463
val,263
val,41
val,479
val,370
val,40
val,432
val,103
val,32
val,340
val,296
val,148
val,312
val,193
val,98
val,180
val,295
val,332
val,383
val,261
val,303
val,238
val,399
val,84
val,181
val,313
val,452
val,222
val,88
val,173
val,18
val,184
val,182
val,235
val,351
val,110
test,73
test,314
test,420
test,186
test,192
test,376
test,338
test,431
test,324
test,379
test,91
test,134
test,118
test,267
test,408
test,321
test,155
test,106
test,223
test,208
test,402
test,476
test,149
test,209
test,167
test,56
test,444
test,233
test,305
test,105
test,34
test,160
test,330
test,384
test,68
test,71
test,480
test,77
test,254
test,467
test,36
test,35
test,326
test,450
test,55
test,363
test,410
test,438
test,12
test,66
test,31
test,152
test,421
test,288
test,475
test,441
test,26
test,433
test,151
test,156
test,265
test,145
test,237
test,225
test,423
test,158
test,4
test,244
test,142
test,69
test,218
test,9
test,236
test,252
test,86
test,471
test,1
test,187
test,298
test,409
test,203
test,256
test,374
test,391
test,317
test,327
test,70
test,38
test,100
test,412
test,285
test,224
test,57
test,404
test,424
test,283
test,176
