split,sample_index
train,246
train,446
train,437
train,337
train,354
train,274
train,211
train,103
train,108
train,362
train,132
train,241
train,188
train,97
train,197
train,271
train,460
train,482
train,225
train,405
train,382
train,161
train,22
train,394
train,2
train,130
train,367
train,36
train,345
train,302
train,138
train,371
train,245
train,112
train,142
train,287
train,311
train,273
train,320
train,417
train,265
train,189
train,187
train,82
train,195
train,350
train,171
train,393
train,306
train,418
train,231
train,96
train,259
train,29
train,298
train,378
train,76
train,149
train,386
train,303
train,269
train,50
train,426
train,7
train,48
train,480
train,66
train,91
train,384
train,310
train,459
train,456
train,370
train,56
train,410
train,356
train,407
train,114
train,266
train,20
train,434
train,166
train,256
train,186
train,235
train,70
train,477
train,44
train,248
train,180
train,226
train,270
train,40
train,372
train,280
train,16
train,481
train,25
train,424
train,191
train,92
train,196
train,240
train,54
train,208
train,174
train,87
train,214
train,328
train,443
train,42
train,381
train,440
train,454
train,182
train,238
train,406
train,340
train,449
train,27
train,308
train,203
train,267
train,118
train,348
train,286
train,124
train,147
train,137
train,80
train,253
train,431
train,317
train,59
train,5
train,295
train,14
train,423
train,363
train,179
train,62
train,375
train,99
train,17
train,361
train,15
train,313
train,57
train,34
train,93
train,268
train,136
train,11
train,451
train,190
train,412
train,318
train,58
train,120
train,115
train,217
train,199
train,152
train,430
train,10
train,425
train,85
train,24
train,65
train,200
train,207
train,35
train,385
train,194
train,83
train,388
train,169
train,285
train,64
train,341
train,353
train,359
train,49
train,373
train,314
train,219
train,383
train,51
train,204
train,75
train,461
train,277
train,294
train,283
train,397
train,444
train,193
train,220
train,304
train,377
train,205
train,38
train,45
train,251
train,28
train,413
train,398
train,72
train,307
train,299
train,279
train,146
train,421
train,415
train,19
train,411
train,74
train,263
train,84
train,165
train,170
train,455
train,324
train,23
train,346
train,408
train,135
train,288
train,293
train,37
train,305
train,151
train,316
train,272
train,404
train,414
train,315
train,126
train,176
train,358
train,262
train,343
train,327
train,209
train,121
train,18
train,409
train,105
train,275
train,469
train,61
train,395
train,475
train,252
train,441
train,229
train,198
train,95
train,309
train,445
train,284
train,71
train,216
train,221
train,352
train,458
train,258
train,178
train,175
train,333
train,157
train,223
train,162
train,450
train,433
train,69
train,212
train,150
train,163
train,376
train,177
train,438
train,332
train,89
train,323
train,30
train,322
train,141
train,102
train,9
train,427
train,349
train,79
train,464
train,344
train,202
train,419
train,154
train,347
train,442
train,264
train,159
train,41
train,257
train,465
train,183
train,390
train,396
train,3
train,90
train,192
train,457
train,244
train,473
train,281
train,250
train,131
train,13
train,249
train,104
train,110
train,164
train,468
train,452
train,52
train,68
train,233
train,144
train,127
train,228
train,254
train,109
train,210
train,379
train,467
train,342
train,374
train,247
val,55
val,78
val,101
val,227
val,463
val,436
val,234
val,156
val,230
val,184
val,153
val,391
val,453
val,335
val,73
val,466
val,128
val,47
val,312
val,129
val,296
val,339
val,330
val,173
val,432
val,106
val,236
val,4
val,357
val,8
val,331
val,439
val,140
val,117
val,222
val,218
val,472
val,63
val,278
val,429
val,119
val,368
val,155
val,148
val,364
val,158
val,297
val,380
test,143
test,0
test,243
test,185
test,21
test,355
test,46
test,292
test,319
test,113
test,107
test,1
test,167
test,351
test,12
test,260
test,369
test,435
test,111
test,448
test,181
test,470
test,206
test,420
test,479
test,291
test,172
test,43
test,282
test,232
test,416
test,77
test,325
test,329
test,401
test,462
test,81
test,134
test,67
test,60
test,100
test,53
test,447
test,474
test,33
test,125
test,215
test,276
test,471
test,122
test,133
test,213
test,360
test,116
test,31
test,403
test,6
test,98
test,289
test,26
test,478
test,476
test,88
test,365
test,428
test,168
test,336
test,94
test,338
test,145
test,261
test,300
test,242
test,86
test,123
test,160
test,422
test,334
test,321
test,326
test,392
test,399
test,301
test,255
test,139
test,402
test,400
test,224
test,237
test,389
test,32
test,239
test,366
test,387
test,201
test,290
test,39
