split,sample_index
train,378
train,68
train,279
train,243
train,184
train,268
train,96
train,69
train,90
train,226
train,376
train,195
train,355
train,51
train,140
train,179
train,141
train,120
train,280
train,347
train,3
train,177
train,349
train,334
train,116
train,102
train,67
train,114
train,119
train,312
train,298
train,221
train,327
train,170
train,175
train,147
train,260
train,369
train,78
train,219
train,278
train,143
train,161
train,188
train,281
train,396
train,249
train,135
train,269
train,238
train,314
train,60
train,306
train,176
train,187
train,368
train,45
train,233
train,173
train,305
train,130
train,231
train,340
train,313
train,303
train,13
train,274
train,157
train,255
train,40
train,190
train,80
train,250
train,322
train,132
train,242
train,23
train,384
train,125
train,236
train,308
train,252
train,4
train,356
train,392
train,351
train,17
train,335
train,224
train,258
train,323
train,338
train,107
train,73
train,337
train,124
train,272
train,244
train,331
train,59
train,273
train,254
train,54
train,168
train,180
train,282
train,211
train,104
train,72
train,283
train,182
train,285
train,222
train,158
train,387
train,380
train,391
train,65
train,42
train,365
train,270
train,237
train,166
train,339
train,207
train,14
train,366
train,381
train,359
train,300
train,291
train,139
train,100
train,46
train,288
train,297
train,367
train,345
train,77
train,271
train,364
train,201
train,79
train,310
train,234
train,95
train,196
train,128
train,156
train,264
train,112
train,57
train,87
train,235
train,317
train,330
train,19
train,66
train,164
train,202
train,62
train,361
train,108
train,142
train,261
train,58
train,86
train,241
train,154
train,350
train,149
train,265
train,204
train,10
train,373
train,370
train,30
train,307
train,290
train,39
train,245
train,343
train,110
train,47
train,341
train,309
train,336
train,1
train,172
train,169
train,227
train,385
train,126
train,319
train,81
train,256
train,324
train,388
train,88
train,199
train,348
train,360
train,382
train,397
train,301
train,229
train,251
train,163
train,246
train,174
train,99
train,371
train,326
train,35
train,118
train,389
train,232
train,43
train,325
train,131
train,103
train,2
train,85
train,342
train,94
train,162
train,230
train,262
train,63
train,22
train,6
train,372
train,21
train,284
train,26
train,320
train,111
train,266
train,52
train,115
train,48
train,32
train,220
train,216
train,311
train,7
train,101
train,152
train,217
train,363
train,276
train,206
train,138
train,218
train,64
train,210
train,25
train,70
train,329
train,193
train,38
train,374
train,145
train,399
train,328
train,93
train,259
train,197
train,275
train,395
train,353
train,50
train,178
train,16
train,117
train,189
train,9
train,390
train,215
train,49
val,386
val,160
val,223
val,75
val,398
val,106
val,8
val,137
val,84
val,165
val,123
val,37
val,36
val,302
val,315
val,267
val,121
val,181
val,200
val,186
val,144
val,209
val,296
val,105
val,393
val,253
val,82
val,18
val,316
val,318
val,151
val,148
val,76
val,213
val,159
val,277
val,146
val,304
val,379
val,56
test,377
test,92
test,91
test,332
test,357
test,29
test,83
test,191
test,0
test,55
test,383
test,214
test,240
test,133
test,228
test,41
test,98
test,225
test,358
test,192
test,15
test,74
test,89
test,352
test,293
test,24
test,34
test,198
test,185
test,27
test,248
test,263
test,113
test,31
test,122
test,286
test,5
test,354
test,239
test,129
test,400
test,11
test,44
test,134
test,321
test,155
test,28
test,394
test,203
test,375
test,20
test,294
test,212
test,289
test,344
test,194
test,362
test,167
test,299
test,109
test,171
test,61
test,287
test,53
test,295
test,71
test,12
test,205
test,257
test,208
test,292
test,127
test,333
test,153
test,97
test,183
test,33
test,247
test,136
test,150
test,346
